song1;song2;similarity
Tempo;Serenata Menina;0.8234
Taberna Transmontana;Promessa de Estudante;0.8205
Noite Puxa Noite;Promessa de Estudante;0.8133
Hino da RaussTuna;Serenata Menina;0.7986
Lua Feiticeira;Serenata Menina;0.7982
Lágrima;Serenata Menina;0.7921
Lágrima;Carta Sem Endereço;0.7852
Rauss, Quero Voltar;Serenata Menina;0.7787
Carpe Diem;Lado a Lado;0.7787
A Tuna!;Coração de Estudante;0.7768
Rauss, Quero Voltar;Promessa de Estudante;0.7691
Lua Feiticeira;Secreto Desejo;0.7613
Embuste Das Cidras;Promessa de Estudante;0.7586
Secreto Desejo;Serenata Menina;0.7585
Fim De Semana;Promessa de Estudante;0.7583
Carpe Diem;Serenata Menina;0.7577
Carta Sem Endereço;Promessa de Estudante;0.7576
Sapo Estudante;Promessa de Estudante;0.7569
Promessa de Estudante;Serenata Menina;0.7547
Lágrima;Para Ti;0.7536
Lágrima;Promessa de Estudante;0.7527
A Tuna!;Para Ti;0.7511
Serenata Menina;Lado a Lado;0.7508
Tempo;Hino da RaussTuna;0.7506
Carpe Diem;Rauss, Quero Voltar;0.7466
Tempo;Rauss, Quero Voltar;0.7458
O Meu Curso;Promessa de Estudante;0.7455
Rauss, Quero Voltar;Digressão;0.7446
Lágrima;Carpe Diem;0.7443
A Tuna!;Lua Feiticeira;0.7432
Hino da RaussTuna;Digressão;0.7428
Coração de Estudante;Serenata Menina;0.7426
Fim De Semana;Rauss, Quero Voltar;0.7420
Carpe Diem;Hino da RaussTuna;0.7413
Lágrima;Secreto Desejo;0.7387
Hino da RaussTuna;Lado a Lado;0.7385
Lua Feiticeira;Coração de Estudante;0.7374
Taberna Transmontana;Noite Puxa Noite;0.7360
Carpe Diem;Coração de Estudante;0.7359
Rauss, Quero Voltar;Hino da RaussTuna;0.7349
Febres Altas;Noite Puxa Noite;0.7323
Secreto Desejo;Coração de Estudante;0.7318
Coração de Estudante;Hino da RaussTuna;0.7311
Febres Altas;Lua Feiticeira;0.7293
Taberna Transmontana;Serenata Menina;0.7282
Hino Do Caloiro;A Aventura Começou;0.7278
Lágrima;O Meu Curso;0.7262
Taberna Transmontana;Hino Do Lagoa Azul;0.7244
Hino Do Lagoa Azul;Azevinho;0.7231
Vida De Caloiro;Hino da RaussTuna;0.7228
Carpe Diem;Tempo;0.7222
