song1;song2;similarity
Embuste Das Cidras;Fim De Semana;0.8922
Febres Altas;Sapo Estudante;0.8914
Fim De Semana;Hino Do Lagoa Azul;0.8913
Noite Puxa Noite;Azevinho;0.8908
Noite Puxa Noite;Hino Do Lagoa Azul;0.8900
Sempre Bragança;Coração De Estudante;0.8893
Noite Puxa Noite;Rauss, Quero Voltar;0.8892
Tempo;Promessa De Estudante;0.8891
Taberna Transmontana;Febres Altas;0.8891
Febres Altas;Promessa De Estudante;0.8891
Carta Sem Endereço;Hino Da RaussTuna;0.8883
Sempre Bragança;Serenata Menina;0.8882
Hino Da RaussTuna;Digressão;0.8882
Sempre Bragança;Carpe Diem;0.8881
Fim De Semana;Tempo;0.8878
Secreto Desejo;Sapo Estudante;0.8877
Lágrima;Hino Da RaussTuna;0.8876
A Tuna;Febres Altas;0.8875
A Tuna;Lua Feiticeira;0.8874
Carpe Diem;A Aventura Começou;0.8872
Taberna Transmontana;Carta Sem Endereço;0.8867
O Meu Curso;Fraldiqueiros De Mindelo;0.8861
Taberna Transmontana;Fim De Semana;0.8859
A Tuna;Rauss, Quero Voltar;0.8857
Febres Altas;Zé Fadista;0.8857
Vida De Caloiro;Tempo;0.8855
Tempo;A Aventura Começou;0.8853
Carta Sem Endereço;Lado A Lado;0.8846
Fraldiqueiros De Mindelo;Promessa De Estudante;0.8841
Sapo Estudante;Lado A Lado;0.8839
Febres Altas;Hino Do Lagoa Azul;0.8833
Azevinho;Serenata Menina;0.8832
Taberna Transmontana;Tempo;0.8826
Vida De Caloiro;Digressão;0.8826
Embuste Das Cidras;Carta Sem Endereço;0.8824
Sapo Estudante;Digressão;0.8819
Hino Do Lagoa Azul;Hino Da RaussTuna;0.8812
Lágrima;Vida De Caloiro;0.8807
Sempre Bragança;A Aventura Começou;0.8804
Lua Feiticeira;Lado A Lado;0.8802
A Tuna;Noite Puxa Noite;0.8795
Azevinho;Lado A Lado;0.8790
Hino Do Lagoa Azul;Serenata Menina;0.8781
Hino Do Lagoa Azul;Lado A Lado;0.8775
Tempo;Hino Do Lagoa Azul;0.8774
Noite Puxa Noite;Fraldiqueiros De Mindelo;0.8768
Digressão;Lado A Lado;0.8767
Noite Puxa Noite;Coração De Estudante;0.8766
Febres Altas;Coração De Estudante;0.8766
A Aventura Começou;Vamos Ao Festival;0.8764
Sempre Bragança;Carta Sem Endereço;0.8758
Sapo Estudante;Fraldiqueiros De Mindelo;0.8757
Fim De Semana;Digressão;0.8757
Rauss, Quero Voltar;Vamos Ao Festival;0.8754
A Tuna;Promessa De Estudante;0.8754
Coração De Estudante;Para Ti;0.8753
Fim De Semana;Lado A Lado;0.8752
A Aventura Começou;Digressão;0.8751
A Tuna;Vida De Caloiro;0.8750
Tempo;Lua Feiticeira;0.8746
Sempre Bragança;Azevinho;0.8743
Febres Altas;Carta Sem Endereço;0.8741
Noite Puxa Noite;Lado A Lado;0.8740
Sempre Bragança;Lado A Lado;0.8739
Lua Feiticeira;Secreto Desejo;0.8737
Sempre Bragança;Secreto Desejo;0.8735
O Meu Curso;Para Ti;0.8734
Sempre Bragança;Rauss, Quero Voltar;0.8730
Azevinho;Hino Da RaussTuna;0.8727
Secreto Desejo;Promessa De Estudante;0.8724
Secreto Desejo;Hino Da RaussTuna;0.8723
Vida De Caloiro;Noite Puxa Noite;0.8719
Tempo;Para Ti;0.8717
Promessa De Estudante;Coração De Estudante;0.8716
A Aventura Começou;Coração De Estudante;0.8715
Sempre Bragança;Fim De Semana;0.8709
O Meu Curso;Lado A Lado;0.8709
Secreto Desejo;Para Ti;0.8708
Carta Sem Endereço;Fraldiqueiros De Mindelo;0.8707
Embuste Das Cidras;Taberna Transmontana;0.8703
Vida De Caloiro;Azevinho;0.8693
Tempo;O Meu Curso;0.8692
A Tuna;A Aventura Começou;0.8689
Tempo;Digressão;0.8688
Zé Fadista;Serenata Menina;0.8687
Embuste Das Cidras;Sapo Estudante;0.8684
Fim De Semana;Vamos Ao Festival;0.8681
Febres Altas;Azevinho;0.8677
Taberna Transmontana;A Aventura Começou;0.8676
Fim De Semana;Coração De Estudante;0.8676
A Tuna;Zé Fadista;0.8668
Noite Puxa Noite;Secreto Desejo;0.8668
Febres Altas;O Meu Curso;0.8667
A Aventura Começou;Secreto Desejo;0.8666
Lágrima;Sempre Bragança;0.8665
Azevinho;Promessa De Estudante;0.8653
Noite Puxa Noite;Zé Fadista;0.8645
Carpe Diem;Promessa De Estudante;0.8645
Azevinho;Coração De Estudante;0.8642
Lágrima;Fraldiqueiros De Mindelo;0.8638
Sempre Bragança;Sapo Estudante;0.8633
Febres Altas;Hino Da RaussTuna;0.8633
Taberna Transmontana;Rauss, Quero Voltar;0.8633
Para Ti;Lado A Lado;0.8632
Taberna Transmontana;Digressão;0.8631
A Tuna;Fim De Semana;0.8629
Sapo Estudante;Vamos Ao Festival;0.8626
Carta Sem Endereço;Azevinho;0.8622
Taberna Transmontana;Zé Fadista;0.8617
Embuste Das Cidras;Noite Puxa Noite;0.8610
Tempo;Azevinho;0.8608
Carpe Diem;Hino Do Lagoa Azul;0.8600
A Tuna;Sempre Bragança;0.8599
A Aventura Começou;Lado A Lado;0.8599
Lua Feiticeira;Hino Do Lagoa Azul;0.8599
Febres Altas;Fim De Semana;0.8597
RaussETunas;Hino Da RaussTuna;0.8587
Lua Feiticeira;Hino Da RaussTuna;0.8581
Embuste Das Cidras;Lágrima;0.8578
Promessa De Estudante;Hino Da RaussTuna;0.8578
Carpe Diem;Noite Puxa Noite;0.8574
Embuste Das Cidras;A Aventura Começou;0.8570
Lágrima;Hino Do Lagoa Azul;0.8566
A Tuna;Digressão;0.8565
Rauss, Quero Voltar;Hino Do Lagoa Azul;0.8564
Febres Altas;Lado A Lado;0.8563
Taberna Transmontana;Secreto Desejo;0.8553
Febres Altas;Vida De Caloiro;0.8552
Vamos Ao Festival;Digressão;0.8550
Febres Altas;Carpe Diem;0.8548
Zé Fadista;Para Ti;0.8546
Carpe Diem;Azevinho;0.8541
Carta Sem Endereço;Hino Do Lagoa Azul;0.8540
Tempo;Zé Fadista;0.8539
Sempre Bragança;Tempo;0.8535
A Aventura Começou;Azevinho;0.8534
Lágrima;Zé Fadista;0.8532
Taberna Transmontana;O Meu Curso;0.8530
Rauss, Quero Voltar;Azevinho;0.8526
Taberna Transmontana;Vida De Caloiro;0.8524
A Aventura Começou;Fraldiqueiros De Mindelo;0.8523
Promessa De Estudante;Digressão;0.8520
Carpe Diem;Digressão;0.8512
Sapo Estudante;Para Ti;0.8509
Noite Puxa Noite;Hino Da RaussTuna;0.8505
Zé Fadista;Azevinho;0.8505
Lua Feiticeira;Azevinho;0.8497
A Aventura Começou;Hino Do Lagoa Azul;0.8488
Fraldiqueiros De Mindelo;Coração De Estudante;0.8487
Vida De Caloiro;Secreto Desejo;0.8481
Embuste Das Cidras;Rauss, Quero Voltar;0.8481
Promessa De Estudante;Lado A Lado;0.8477
Coração De Estudante;Digressão;0.8475
Vida De Caloiro;Hino Do Lagoa Azul;0.8474
Vida De Caloiro;Lado A Lado;0.8474
