song1; song2; similarity
Tempo; Serenata Menina; 0.9101
Hino Do Lagoa Azul; Azevinho; 0.9036
Sapo Estudante; Promessa de Estudante; 0.9004
Noite Puxa Noite; Promessa de Estudante; 0.8961
Taberna Transmontana; Promessa de Estudante; 0.8945
Taberna Transmontana; Sapo Estudante; 0.8935
A Tuna!; Coração de Estudante; 0.8869
Lágrima; Para Ti; 0.8799
Carta Sem Endereço; Promessa de Estudante; 0.8794
A Tuna!; Para Ti; 0.8793
Taberna Transmontana; Tempo; 0.8765
Carpe Diem; Lado a Lado; 0.8753
Lágrima; Carta Sem Endereço; 0.8752
Fim De Semana; Rauss, Quero Voltar; 0.8740
Noite Puxa Noite; Sapo Estudante; 0.8691
Secreto Desejo; Coração de Estudante; 0.8652
Taberna Transmontana; Serenata Menina; 0.8646
Sapo Estudante; Serenata Menina; 0.8616
Carta Sem Endereço; Sapo Estudante; 0.8588
Taberna Transmontana; Noite Puxa Noite; 0.8580
Tempo; Promessa de Estudante; 0.8579
Hino Do Lagoa Azul; Lado a Lado; 0.8559
Lua Feiticeira; Coração de Estudante; 0.8557
A Tuna!; Lua Feiticeira; 0.8555
Taberna Transmontana; Hino Do Lagoa Azul; 0.8554
Coração de Estudante; Serenata Menina; 0.8548
A Aventura Começou; Rauss, Quero Voltar; 0.8544
Lágrima; Serenata Menina; 0.8503
A Tuna!; Secreto Desejo; 0.8499
Carta Sem Endereço; Tempo; 0.8489
Febres Altas; Azevinho; 0.8486
Embuste Das Cidras; Promessa de Estudante; 0.8481
Promessa de Estudante; Serenata Menina; 0.8473
Lágrima; Tempo; 0.8466
Fim De Semana; Sapo Estudante; 0.8465
Febres Altas; Lua Feiticeira; 0.8464
Lua Feiticeira; Lado a Lado; 0.8464
Carta Sem Endereço; Secreto Desejo; 0.8457
Sapo Estudante; Hino Do Lagoa Azul; 0.8441
Rauss, Quero Voltar; Digressão; 0.8441
Taberna Transmontana; Lágrima; 0.8397
Noite Puxa Noite; Serenata Menina; 0.8379
Tempo; Sapo Estudante; 0.8374
Secreto Desejo; Serenata Menina; 0.8374
A Tuna!; Serenata Menina; 0.8374
Fim De Semana; Promessa de Estudante; 0.8365
Carta Sem Endereço; Para Ti; 0.8364
Fim De Semana; A Aventura Começou; 0.8363
Lua Feiticeira; Hino Do Lagoa Azul; 0.8355
Serenata Menina; Lado a Lado; 0.8348
Febres Altas; Hino Do Lagoa Azul; 0.8344
Taberna Transmontana; Azevinho; 0.8326
Lua Feiticeira; Secreto Desejo; 0.8315
A Tuna!; Carta Sem Endereço; 0.8306
Tempo; Secreto Desejo; 0.8305
Lágrima; Secreto Desejo; 0.8304
Tempo; Lado a Lado; 0.8301
Carpe Diem; Hino da RaussTuna; 0.8300
Carta Sem Endereço; Serenata Menina; 0.8282
Hino da RaussTuna; Lado a Lado; 0.8281
Sapo Estudante; Azevinho; 0.8273
Lua Feiticeira; Azevinho; 0.8273
A Aventura Começou; Sapo Estudante; 0.8270
Azevinho; Lado a Lado; 0.8270
Taberna Transmontana; Carta Sem Endereço; 0.8269
Secreto Desejo; Lado a Lado; 0.8252
Hino da RaussTuna; Serenata Menina; 0.8237
Taberna Transmontana; Febres Altas; 0.8236
Carpe Diem; Sapo Estudante; 0.8235
Lágrima; Promessa de Estudante; 0.8230
Secreto Desejo; Promessa de Estudante; 0.8209
Taberna Transmontana; Lado a Lado; 0.8190
Carpe Diem; Rauss, Quero Voltar; 0.8182
