song1; song2; similarity
Carta Sem Endereço; Rauss, Quero Voltar; 0.8340
Fim De Semana; Tempo; 0.8338
Azevinho; Coração de Estudante; 0.8332
Carpe Diem; Noite Puxa Noite; 0.8330
A Aventura Começou; Sapo Estudante; 0.8327
O Meu Curso; Para Ti; 0.8312
Secreto Desejo; Para Ti; 0.8312
Febres Altas; Tempo; 0.8310
Tempo; Digressão; 0.8309
A Tuna!; Serenata Menina; 0.8308
Fim De Semana; A Aventura Começou; 0.8307
Taberna Transmontana; Rauss, Quero Voltar; 0.8306
A Tuna!; Para Ti; 0.8298
Tempo; Secreto Desejo; 0.8294
Secreto Desejo; Fraldiqueiros de Mindelo; 0.8287
Fim De Semana; Digressão; 0.8282
A Tuna!; Carpe Diem; 0.8278
Para Ti; Lado a Lado; 0.8278
Lágrima; Carpe Diem; 0.8276
Vida De Caloiro; A Aventura Começou; 0.8272
Febres Altas; Lado a Lado; 0.8268
Fraldiqueiros de Mindelo; Coração de Estudante; 0.8266
A Aventura Começou; O Meu Curso; 0.8264
Febres Altas; Fraldiqueiros de Mindelo; 0.8253
A Tuna!; Azevinho; 0.8251
Carta Sem Endereço; Tempo; 0.8248
Tempo; Para Ti; 0.8247
Taberna Transmontana; O Meu Curso; 0.8241
Carpe Diem; Fim De Semana; 0.8234
Lágrima; Hino Do Lagoa Azul; 0.8234
Sapo Estudante; Rauss, Quero Voltar; 0.8230
Tempo; Noite Puxa Noite; 0.8228
Hino Do Lagoa Azul; Para Ti; 0.8225
A Aventura Começou; Vamos Ao Festival; 0.8221
Lágrima; Lado a Lado; 0.8218
Fim De Semana; Serenata Menina; 0.8216
Hino Do Lagoa Azul; Hino da RaussTuna; 0.8214
Lua Feiticeira; Hino Do Lagoa Azul; 0.8198
Embuste Das Cidras; Tempo; 0.8197
Noite Puxa Noite; Fraldiqueiros de Mindelo; 0.8187
Fraldiqueiros de Mindelo; Serenata Menina; 0.8185
Sempre Bragança; Azevinho; 0.8170
Sempre Bragança; Secreto Desejo; 0.8153
Hino da RaussTuna; Para Ti; 0.8152
Taberna Transmontana; Carta Sem Endereço; 0.8142
Noite Puxa Noite; Coração de Estudante; 0.8139
Tempo; O Meu Curso; 0.8134
Taberna Transmontana; Fim De Semana; 0.8133
Carpe Diem; A Aventura Começou; 0.8130
Sempre Bragança; Hino Do Lagoa Azul; 0.8130
Febres Altas; Hino Do Lagoa Azul; 0.8125
Embuste Das Cidras; Fim De Semana; 0.8118
Vida De Caloiro; Fim De Semana; 0.8115
Embuste Das Cidras; Serenata Menina; 0.8113
Lágrima; Noite Puxa Noite; 0.8111
Taberna Transmontana; Digressão; 0.8109
A Tuna!; O Meu Curso; 0.8109
A Tuna!; Zé Fadista; 0.8106
Fim De Semana; Hino Do Lagoa Azul; 0.8102
Noite Puxa Noite; Secreto Desejo; 0.8100
Lua Feiticeira; Hino da RaussTuna; 0.8088
Febres Altas; Coração de Estudante; 0.8087
Vida De Caloiro; Coração de Estudante; 0.8084
Azevinho; Promessa de Estudante; 0.8080
O Meu Curso; Coração de Estudante; 0.8079
Febres Altas; Carpe Diem; 0.8078
Embuste Das Cidras; Rauss, Quero Voltar; 0.8078
Carta Sem Endereço; A Aventura Começou; 0.8070
Vida De Caloiro; Promessa de Estudante; 0.8062
Rauss, Quero Voltar; Hino da RaussTuna; 0.8059
A Tuna!; Febres Altas; 0.8049
Carpe Diem; Vamos Ao Festival; 0.8049
Fim De Semana; Noite Puxa Noite; 0.8048
Rauss, Quero Voltar; Hino Do Lagoa Azul; 0.8045
Secreto Desejo; Hino Do Lagoa Azul; 0.8042
Vida De Caloiro; Sapo Estudante; 0.8036
Hino Do Lagoa Azul; Digressão; 0.8033
Zé Fadista; Coração de Estudante; 0.8028
Vida De Caloiro; O Meu Curso; 0.8027
Carpe Diem; Fraldiqueiros de Mindelo; 0.8015
Noite Puxa Noite; O Meu Curso; 0.8009
Tempo; Coração de Estudante; 0.8008
Vida De Caloiro; Para Ti; 0.7994
Tempo; Lua Feiticeira; 0.7988
Taberna Transmontana; Hino da RaussTuna; 0.7985
Taberna Transmontana; Lua Feiticeira; 0.7981
Taberna Transmontana; Vida De Caloiro; 0.7979
Embuste Das Cidras; Noite Puxa Noite; 0.7977
Carpe Diem; Carta Sem Endereço; 0.7977
A Aventura Começou; Hino da RaussTuna; 0.7974
Fraldiqueiros de Mindelo; Lado a Lado; 0.7973
Sapo Estudante; Fraldiqueiros de Mindelo; 0.7970
Vida De Caloiro; Lado a Lado; 0.7966
Febres Altas; Para Ti; 0.7963
Fraldiqueiros de Mindelo; Promessa de Estudante; 0.7961
O Meu Curso; Fraldiqueiros de Mindelo; 0.7958
Taberna Transmontana; Zé Fadista; 0.7956
Embuste Das Cidras; Carpe Diem; 0.7942
A Aventura Começou; Para Ti; 0.7939
Sempre Bragança; Tempo; 0.7927
Tempo; Azevinho; 0.7916
Vida De Caloiro; Hino Do Lagoa Azul; 0.7916
Lágrima; Vida De Caloiro; 0.7910
Rauss, Quero Voltar; Para Ti; 0.7909
Lágrima; Fim De Semana; 0.7907
Para Ti; Digressão; 0.7902
A Aventura Começou; Noite Puxa Noite; 0.7897
Azevinho; Para Ti; 0.7894
Febres Altas; Hino da RaussTuna; 0.7882
Promessa de Estudante; Digressão; 0.7868
Fraldiqueiros de Mindelo; Azevinho; 0.7867
Embuste Das Cidras; Lágrima; 0.7865
Noite Puxa Noite; Rauss, Quero Voltar; 0.7852
Embuste Das Cidras; Hino Do Lagoa Azul; 0.7848
Febres Altas; Secreto Desejo; 0.7846
Zé Fadista; Serenata Menina; 0.7845
Lágrima; Lua Feiticeira; 0.7844
Lua Feiticeira; O Meu Curso; 0.7842
Vida De Caloiro; Noite Puxa Noite; 0.7828
A Aventura Começou; Fraldiqueiros de Mindelo; 0.7827
Promessa de Estudante; Vamos Ao Festival; 0.7827
Febres Altas; Promessa de Estudante; 0.7820
Embuste Das Cidras; Carta Sem Endereço; 0.7820
A Tuna!; Fraldiqueiros de Mindelo; 0.7820
Embuste Das Cidras; Lado a Lado; 0.7818
Lágrima; Febres Altas; 0.7816
Sapo Estudante; Vamos Ao Festival; 0.7811
O Meu Curso; Azevinho; 0.7809
Secreto Desejo; Rauss, Quero Voltar; 0.7808
Carta Sem Endereço; Hino Do Lagoa Azul; 0.7803
Fim De Semana; Lado a Lado; 0.7800
Fim De Semana; Vamos Ao Festival; 0.7800
Promessa de Estudante; Coração de Estudante; 0.7796
Embuste Das Cidras; O Meu Curso; 0.7788
Taberna Transmontana; A Aventura Começou; 0.7786
O Meu Curso; Hino Do Lagoa Azul; 0.7786
O Meu Curso; Lado a Lado; 0.7772
Zé Fadista; Fraldiqueiros de Mindelo; 0.7772
A Tuna!; Hino da RaussTuna; 0.7769
Coração de Estudante; Para Ti; 0.7767
Sempre Bragança; O Meu Curso; 0.7760
Fim De Semana; Sapo Estudante; 0.7758
Noite Puxa Noite; Para Ti; 0.7754
Lágrima; A Aventura Começou; 0.7743
Azevinho; Hino da RaussTuna; 0.7743
Tempo; Fraldiqueiros de Mindelo; 0.7740
Sempre Bragança; Lua Feiticeira; 0.7739
Embuste Das Cidras; Febres Altas; 0.7733
Embuste Das Cidras; Azevinho; 0.7728
Vamos Ao Festival; Digressão; 0.7720
A Aventura Começou; Digressão; 0.7718
Embuste Das Cidras; Para Ti; 0.7700
Carta Sem Endereço; Noite Puxa Noite; 0.7698
Carta Sem Endereço; Lado a Lado; 0.7697
Lágrima; Hino da RaussTuna; 0.7696
Sempre Bragança; Sapo Estudante; 0.7685
Promessa de Estudante; Hino da RaussTuna; 0.7684
Fim De Semana; Hino da RaussTuna; 0.7683
Noite Puxa Noite; Hino da RaussTuna; 0.7669
Fim De Semana; Carta Sem Endereço; 0.7668
Taberna Transmontana; Sempre Bragança; 0.7661
Taberna Transmontana; A Tuna!; 0.7656
A Tuna!; Tempo; 0.7652
A Tuna!; Lado a Lado; 0.7646
Lua Feiticeira; Noite Puxa Noite; 0.7646
Fraldiqueiros de Mindelo; Hino da RaussTuna; 0.7645
Sapo Estudante; Zé Fadista; 0.7642
Febres Altas; Vida De Caloiro; 0.7641
Sempre Bragança; Serenata Menina; 0.7640
Taberna Transmontana; Coração de Estudante; 0.7638
A Tuna!; Noite Puxa Noite; 0.7633
Sapo Estudante; Hino da RaussTuna; 0.7620
Fim De Semana; Para Ti; 0.7620
Vida De Caloiro; Azevinho; 0.7606
Carta Sem Endereço; Lua Feiticeira; 0.7584
Sapo Estudante; Digressão; 0.7582
Sempre Bragança; Carpe Diem; 0.7572
Vida De Caloiro; Fraldiqueiros de Mindelo; 0.7562
Febres Altas; O Meu Curso; 0.7558
Sempre Bragança; Carta Sem Endereço; 0.7551
Secreto Desejo; Zé Fadista; 0.7551
Lágrima; Fraldiqueiros de Mindelo; 0.7549
O Meu Curso; Vamos Ao Festival; 0.7536
Embuste Das Cidras; Secreto Desejo; 0.7534
Vida De Caloiro; Secreto Desejo; 0.7529
Lágrima; Digressão; 0.7529
Hino Do Caloiro; Sempre Bragança; 0.7526
Sempre Bragança; Promessa de Estudante; 0.7519
Vida De Caloiro; Lua Feiticeira; 0.7514
Hino Do Lagoa Azul; Coração de Estudante; 0.7508
Embuste Das Cidras; Fraldiqueiros de Mindelo; 0.7506
A Aventura Começou; Secreto Desejo; 0.7502
Embuste Das Cidras; Digressão; 0.7500
Noite Puxa Noite; Vamos Ao Festival; 0.7496
A Tuna!; Lágrima; 0.7491
O Meu Curso; Zé Fadista; 0.7481
Vamos Ao Festival; Serenata Menina; 0.7476
Fraldiqueiros de Mindelo; Vamos Ao Festival; 0.7475
Vida De Caloiro; Sempre Bragança; 0.7469
Lágrima; Coração de Estudante; 0.7458
Sempre Bragança; A Aventura Começou; 0.7457
Secreto Desejo; Hino da RaussTuna; 0.7441
A Tuna!; A Aventura Começou; 0.7429
Lágrima; Sempre Bragança; 0.7414
Zé Fadista; Hino Do Lagoa Azul; 0.7413
Noite Puxa Noite; Zé Fadista; 0.7409
Fraldiqueiros de Mindelo; Para Ti; 0.7407
Vamos Ao Festival; Lado a Lado; 0.7403
A Tuna!; Promessa de Estudante; 0.7380
Embuste Das Cidras; A Aventura Começou; 0.7379
