song1; song2; similarity
Febres Altas; Sapo Estudante; 0.8578
Tempo; Sapo Estudante; 0.8577
Fim De Semana; Azevinho; 0.8573
Lágrima; Hino da RaussTuna; 0.8572
Secreto Desejo; Rauss, Quero Voltar; 0.8569
Vida De Caloiro; Digressão; 0.8566
A Tuna!; Sapo Estudante; 0.8563
Taberna Transmontana; Fim De Semana; 0.8560
Sapo Estudante; Coração de Estudante; 0.8560
Fim De Semana; Hino Do Lagoa Azul; 0.8558
Tempo; Lado a Lado; 0.8554
Noite Puxa Noite; Hino Do Lagoa Azul; 0.8553
Lua Feiticeira; Secreto Desejo; 0.8549
Lua Feiticeira; Lado a Lado; 0.8529
Lágrima; Febres Altas; 0.8529
Digressão; Lado a Lado; 0.8525
Noite Puxa Noite; Rauss, Quero Voltar; 0.8525
Tempo; Hino da RaussTuna; 0.8525
Taberna Transmontana; Febres Altas; 0.8522
Lua Feiticeira; Coração de Estudante; 0.8514
Sempre Bragança; A Aventura Começou; 0.8508
A Aventura Começou; Vamos Ao Festival; 0.8505
O Meu Curso; Fraldiqueiros de Mindelo; 0.8504
Fraldiqueiros de Mindelo; Promessa de Estudante; 0.8501
Taberna Transmontana; Hino Do Lagoa Azul; 0.8500
Taberna Transmontana; Carta Sem Endereço; 0.8489
A Tuna!; Vida De Caloiro; 0.8480
A Tuna!; Febres Altas; 0.8465
Vida De Caloiro; Tempo; 0.8464
Lágrima; Vida De Caloiro; 0.8460
Fim De Semana; Tempo; 0.8460
Febres Altas; Carta Sem Endereço; 0.8456
Hino Do Lagoa Azul; Hino da RaussTuna; 0.8454
Lágrima; A Aventura Começou; 0.8438
Tempo; Promessa de Estudante; 0.8435
A Tuna!; Promessa de Estudante; 0.8427
Secreto Desejo; Para Ti; 0.8422
O Meu Curso; Lado a Lado; 0.8417
Promessa de Estudante; Coração de Estudante; 0.8408
Azevinho; Serenata Menina; 0.8400
Fim De Semana; Lado a Lado; 0.8397
Febres Altas; Tempo; 0.8395
Azevinho; Hino da RaussTuna; 0.8388
Coração de Estudante; Para Ti; 0.8387
Carpe Diem; Promessa de Estudante; 0.8385
Rauss, Quero Voltar; Vamos Ao Festival; 0.8382
Secreto Desejo; Hino da RaussTuna; 0.8367
Noite Puxa Noite; Coração de Estudante; 0.8365
Secreto Desejo; Promessa de Estudante; 0.8364
Fim De Semana; Digressão; 0.8364
A Aventura Começou; Digressão; 0.8363
Sapo Estudante; Lado a Lado; 0.8361
Febres Altas; Hino Do Lagoa Azul; 0.8359
Hino Do Lagoa Azul; Serenata Menina; 0.8359
Tempo; Para Ti; 0.8356
A Tuna!; Digressão; 0.8355
