song1; song2; similarity
Carta Sem Endereço; Coração de Estudante; 0.6503
Sapo Estudante; O Meu Curso; 0.6502
Rauss, Quero Voltar; Vamos Ao Festival; 0.6473
Lágrima; Lado a Lado; 0.6467
Febres Altas; Hino Do Lagoa Azul; 0.6467
Sapo Estudante; Hino Do Lagoa Azul; 0.6464
A Tuna!; O Meu Curso; 0.6458
Fim De Semana; Sapo Estudante; 0.6447
Carpe Diem; Azevinho; 0.6435
Fim De Semana; Tempo; 0.6420
Azevinho; Hino da RaussTuna; 0.6414
Secreto Desejo; Rauss, Quero Voltar; 0.6410
Fim De Semana; Serenata Menina; 0.6408
Para Ti; Lado a Lado; 0.6406
Taberna Transmontana; Lua Feiticeira; 0.6401
Vida De Caloiro; Fim De Semana; 0.6396
A Aventura Começou; Sapo Estudante; 0.6393
Taberna Transmontana; Digressão; 0.6392
O Meu Curso; Coração de Estudante; 0.6389
Noite Puxa Noite; Azevinho; 0.6384
Secreto Desejo; Hino da RaussTuna; 0.6384
Vida De Caloiro; O Meu Curso; 0.6382
Azevinho; Coração de Estudante; 0.6379
Sapo Estudante; Digressão; 0.6361
Embuste Das Cidras; Sapo Estudante; 0.6359
Fim De Semana; Noite Puxa Noite; 0.6358
Taberna Transmontana; Hino da RaussTuna; 0.6354
Lágrima; Febres Altas; 0.6345
Tempo; Sapo Estudante; 0.6340
Lua Feiticeira; Para Ti; 0.6338
Febres Altas; Tempo; 0.6315
Promessa de Estudante; Lado a Lado; 0.6310
Taberna Transmontana; O Meu Curso; 0.6307
Vida De Caloiro; Coração de Estudante; 0.6305
Fim De Semana; A Aventura Começou; 0.6297
A Tuna!; Carpe Diem; 0.6294
Lágrima; Coração de Estudante; 0.6293
Tempo; Para Ti; 0.6286
Secreto Desejo; Para Ti; 0.6283
Rauss, Quero Voltar; Coração de Estudante; 0.6274
Vida De Caloiro; A Aventura Começou; 0.6271
Zé Fadista; Serenata Menina; 0.6261
A Aventura Começou; Noite Puxa Noite; 0.6240
Febres Altas; Lado a Lado; 0.6238
Vida De Caloiro; Digressão; 0.6235
A Aventura Começou; Hino da RaussTuna; 0.6225
Carpe Diem; Digressão; 0.6225
Fim De Semana; Hino da RaussTuna; 0.6223
Hino Do Lagoa Azul; Promessa de Estudante; 0.6223
Carta Sem Endereço; Hino da RaussTuna; 0.6223
Promessa de Estudante; Digressão; 0.6221
A Aventura Começou; Serenata Menina; 0.6214
Lua Feiticeira; Zé Fadista; 0.6214
O Meu Curso; Para Ti; 0.6208
Fim De Semana; Digressão; 0.6207
A Tuna!; Zé Fadista; 0.6196
Noite Puxa Noite; Hino Do Lagoa Azul; 0.6192
O Meu Curso; Hino da RaussTuna; 0.6190
Azevinho; Promessa de Estudante; 0.6186
Noite Puxa Noite; Lado a Lado; 0.6183
Embuste Das Cidras; Noite Puxa Noite; 0.6177
Fim De Semana; O Meu Curso; 0.6161
Promessa de Estudante; Coração de Estudante; 0.6160
Vida De Caloiro; Sapo Estudante; 0.6157
Tempo; Digressão; 0.6143
Zé Fadista; Azevinho; 0.6143
Tempo; Hino Do Lagoa Azul; 0.6141
Noite Puxa Noite; O Meu Curso; 0.6140
Carpe Diem; Promessa de Estudante; 0.6135
Vida De Caloiro; Sempre Bragança; 0.6132
Vida De Caloiro; Tempo; 0.6124
O Meu Curso; Lado a Lado; 0.6120
Tempo; O Meu Curso; 0.6107
Taberna Transmontana; Vida De Caloiro; 0.6102
A Aventura Começou; Digressão; 0.6099
Tempo; Noite Puxa Noite; 0.6088
Sapo Estudante; Lado a Lado; 0.6080
A Tuna!; Febres Altas; 0.6069
Lágrima; Hino Do Lagoa Azul; 0.6068
Promessa de Estudante; Hino da RaussTuna; 0.6066
Sapo Estudante; Coração de Estudante; 0.6061
Febres Altas; Coração de Estudante; 0.6058
Secreto Desejo; Sapo Estudante; 0.6048
Secreto Desejo; Azevinho; 0.6048
Lágrima; Fim De Semana; 0.6036
Fim De Semana; Lado a Lado; 0.6032
Vida De Caloiro; Carta Sem Endereço; 0.5997
Zé Fadista; Promessa de Estudante; 0.5991
Febres Altas; Hino da RaussTuna; 0.5991
Carta Sem Endereço; Lua Feiticeira; 0.5987
Febres Altas; Sapo Estudante; 0.5981
Vida De Caloiro; Carpe Diem; 0.5975
Tempo; Azevinho; 0.5972
Noite Puxa Noite; Coração de Estudante; 0.5971
Noite Puxa Noite; Zé Fadista; 0.5966
Lua Feiticeira; Fraldiqueiros de Mindelo; 0.5963
A Tuna!; Rauss, Quero Voltar; 0.5963
Hino Do Lagoa Azul; Digressão; 0.5955
Sapo Estudante; Hino da RaussTuna; 0.5934
Fraldiqueiros de Mindelo; Promessa de Estudante; 0.5927
Secreto Desejo; Fraldiqueiros de Mindelo; 0.5923
Rauss, Quero Voltar; Hino Do Lagoa Azul; 0.5922
Taberna Transmontana; A Aventura Começou; 0.5915
Coração de Estudante; Para Ti; 0.5912
Noite Puxa Noite; Secreto Desejo; 0.5909
Tempo; A Aventura Começou; 0.5903
Lágrima; Vida De Caloiro; 0.5899
Febres Altas; Fraldiqueiros de Mindelo; 0.5881
Hino da RaussTuna; Para Ti; 0.5880
Noite Puxa Noite; Rauss, Quero Voltar; 0.5865
Hino Do Caloiro; Vida De Caloiro; 0.5864
Carta Sem Endereço; Hino Do Lagoa Azul; 0.5842
Taberna Transmontana; A Tuna!; 0.5841
Zé Fadista; Lado a Lado; 0.5838
Lua Feiticeira; Sapo Estudante; 0.5833
Carpe Diem; Hino Do Lagoa Azul; 0.5827
Taberna Transmontana; Carpe Diem; 0.5801
Zé Fadista; Coração de Estudante; 0.5795
Carpe Diem; Noite Puxa Noite; 0.5789
Embuste Das Cidras; Carta Sem Endereço; 0.5779
Tempo; Zé Fadista; 0.5756
Rauss, Quero Voltar; Azevinho; 0.5754
Fim De Semana; Azevinho; 0.5749
A Tuna!; Azevinho; 0.5749
Lua Feiticeira; Digressão; 0.5746
Carta Sem Endereço; Azevinho; 0.5744
Vida De Caloiro; Secreto Desejo; 0.5742
Febres Altas; Para Ti; 0.5740
Noite Puxa Noite; Fraldiqueiros de Mindelo; 0.5726
Hino Do Caloiro; Sempre Bragança; 0.5723
Febres Altas; Secreto Desejo; 0.5712
Sapo Estudante; Zé Fadista; 0.5699
Taberna Transmontana; Coração de Estudante; 0.5687
O Meu Curso; Zé Fadista; 0.5677
Secreto Desejo; Hino Do Lagoa Azul; 0.5676
Secreto Desejo; Zé Fadista; 0.5674
Vamos Ao Festival; Digressão; 0.5668
Embuste Das Cidras; Fim De Semana; 0.5665
A Tuna!; Promessa de Estudante; 0.5662
Fraldiqueiros de Mindelo; Serenata Menina; 0.5659
Fim De Semana; Vamos Ao Festival; 0.5654
Fraldiqueiros de Mindelo; Coração de Estudante; 0.5651
Embuste Das Cidras; Azevinho; 0.5643
Taberna Transmontana; Para Ti; 0.5636
Vida De Caloiro; Azevinho; 0.5634
Promessa de Estudante; Vamos Ao Festival; 0.5632
Carpe Diem; Para Ti; 0.5630
