song1;song2;similarity
Lágrima;Carta Sem Endereço;0.9205
Carta Sem Endereço;O Meu Curso;0.9193
Noite Puxa Noite;Promessa De Estudante;0.9187
Lágrima;Serenata Menina;0.9119
Carta Sem Endereço;Promessa De Estudante;0.9098
Carta Sem Endereço;Serenata Menina;0.9037
Fim De Semana;Promessa De Estudante;0.9014
Rauss, Quero Voltar;Hino Da RaussTuna;0.9001
A Tuna;Serenata Menina;0.8981
A Tuna;Para Ti;0.8976
Coração De Estudante;Serenata Menina;0.8975
A Tuna;Coração De Estudante;0.8952
O Meu Curso;Promessa De Estudante;0.8908
Carpe Diem;Rauss, Quero Voltar;0.8896
Vida De Caloiro;Hino Da RaussTuna;0.8887
Fim De Semana;Carta Sem Endereço;0.8886
A Tuna;Carta Sem Endereço;0.8872
Fim De Semana;Rauss, Quero Voltar;0.8871
Rauss, Quero Voltar;Serenata Menina;0.8870
Taberna Transmontana;Promessa De Estudante;0.8856
Carpe Diem;Hino Da RaussTuna;0.8855
Sapo Estudante;Promessa De Estudante;0.8852
A Aventura Começou;O Meu Curso;0.8841
Carpe Diem;Lado A Lado;0.8825
Carpe Diem;Carta Sem Endereço;0.8821
Sapo Estudante;Rauss, Quero Voltar;0.8819
Carta Sem Endereço;Rauss, Quero Voltar;0.8812
Tempo;Serenata Menina;0.8811
Coração De Estudante;Hino Da RaussTuna;0.8805
Carpe Diem;O Meu Curso;0.8804
O Meu Curso;Rauss, Quero Voltar;0.8803
A Aventura Começou;Rauss, Quero Voltar;0.8802
A Tuna;Lágrima;0.8798
Serenata Menina;Lado A Lado;0.8796
Carpe Diem;Serenata Menina;0.8795
Promessa De Estudante;Serenata Menina;0.8788
Rauss, Quero Voltar;Promessa De Estudante;0.8784
A Tuna;Hino Da RaussTuna;0.8750
Lágrima;Secreto Desejo;0.8749
Carta Sem Endereço;Noite Puxa Noite;0.8747
Fim De Semana;Sapo Estudante;0.8746
Lágrima;Promessa De Estudante;0.8743
Hino Da RaussTuna;Serenata Menina;0.8741
Lágrima;Carpe Diem;0.8741
Fim De Semana;O Meu Curso;0.8729
Carpe Diem;Coração De Estudante;0.8727
Vida De Caloiro;O Meu Curso;0.8715
Lágrima;Para Ti;0.8708
Carta Sem Endereço;Sapo Estudante;0.8704
Secreto Desejo;Serenata Menina;0.8702
Vida De Caloiro;Rauss, Quero Voltar;0.8699
Carta Sem Endereço;Coração De Estudante;0.8692
A Aventura Começou;Promessa De Estudante;0.8684
Noite Puxa Noite;Sapo Estudante;0.8683
A Tuna;Lado A Lado;0.8675
A Tuna;Secreto Desejo;0.8673
Lágrima;O Meu Curso;0.8661
O Meu Curso;Hino Da RaussTuna;0.8653
O Meu Curso;Serenata Menina;0.8651
Taberna Transmontana;Noite Puxa Noite;0.8651
Carta Sem Endereço;Secreto Desejo;0.8650
Lua Feiticeira;Serenata Menina;0.8640
Febres Altas;Noite Puxa Noite;0.8630
Vida De Caloiro;Carta Sem Endereço;0.8629
Vida De Caloiro;Fim De Semana;0.8628
